Y,X,Hash0,Hash3,
1,65573,0.314126,0.375465,
2,24077,0.557171,0.562016,
3,27988,0.300096,0.315436,
4,76807,0.450292,0.434698,
5,43247,0.493646,0.503421,
6,5286,0.501481,0.492596,
7,85950,0.5138,0.490446,
8,69343,0.400782,0.40176,
9,19898,0.41407,0.482412,
10,35504,0.363636,0.411111,
11,58073,0.324552,0.348788,
12,4980,0.448589,0.435484,
13,46145,0.556428,0.540726,
14,12789,0.315578,0.298492,
15,19283,0.471311,0.468238,
16,9653,0.443775,0.450803,
17,64215,0.37001,0.382668,
18,2988,0.530512,0.544291,
19,60304,0.340842,0.348678,
20,8217,0.370854,0.373869,
21,39739,0.447531,0.460905,
22,19389,0.422405,0.389517,
23,35684,0.422857,0.415238,
24,68680,0.370514,0.357905,
25,47823,0.539901,0.512315,
26,33334,0.385892,0.357884,
27,3994,0.363974,0.351903,
28,47733,0.574656,0.573674,
29,44487,0.491107,0.498024,
30,57000,0.293692,0.305067,
31,83640,0.491107,0.470356,
32,17049,0.343813,0.378296,
33,45118,0.524402,0.510048,
34,81032,0.46627,0.481151,
35,66178,0.371205,0.359452,
36,30042,0.344023,0.361516,
37,59851,0.296891,0.357071,
38,51881,0.287938,0.319066,
39,79180,0.491786,0.422998,
40,1472,0.552738,0.517241,
41,2535,0.471642,0.461692,
42,49279,0.311662,0.262126,
43,58894,0.340755,0.322362,
44,58927,0.35474,0.324159,
45,40209,0.497452,0.430173,
46,46846,0.530973,0.546706,
47,3323,0.278641,0.3,
48,85298,0.523949,0.498534,
49,71664,0.400409,0.411645,
50,76688,0.391723,0.415784,
51,51628,0.290387,0.311199,
52,27544,0.331726,0.317261,
53,73386,0.459883,0.435421,
54,19364,0.456625,0.447092,
55,63920,0.397661,0.38499,
56,3615,0.343718,0.341641,
57,55771,0.319171,0.349223,
58,54868,0.319018,0.330266,
59,41607,0.508772,0.489279,
60,27404,0.342352,0.318418,
61,65087,0.395732,0.348206,
62,72794,0.436634,0.391089,
63,28405,0.317048,0.297297,
64,66545,0.348501,0.381593,
65,68979,0.350731,0.374739,
66,20483,0.467327,0.476238,
67,53128,0.29084,0.279509,
68,20514,0.488714,0.480864,
69,55516,0.300692,0.321464,
70,22838,0.533531,0.547337,
71,79743,0.424575,0.444555,
72,81606,0.485658,0.487636,
73,4334,0.407559,0.413687,
74,54077,0.292857,0.329592,
75,13245,0.325349,0.300399,
76,14038,0.282717,0.312687,
77,49831,0.285417,0.302083,
78,43035,0.475327,0.479355,
79,13363,0.346405,0.308279,
80,53919,0.320281,0.302209,
81,36678,0.42189,0.443405,
82,70124,0.363,0.431,
83,36665,0.449658,0.400782,
84,22325,0.549949,0.563337,
85,81588,0.513171,0.469268,
86,44094,0.507886,0.475289,
87,7822,0.362986,0.353783,
88,24412,0.553606,0.568226,
89,79499,0.478307,0.445503,
90,70969,0.419922,0.421875,
91,28914,0.351909,0.329205,
92,26685,0.302564,0.345641,
93,28408,0.349222,0.332685,
94,29590,0.350265,0.34709,
95,57743,0.334018,0.320658,
96,62424,0.387317,0.327805,
97,20274,0.466871,0.472987,
98,72542,0.408591,0.395604,
99,64463,0.346117,0.326942,
100,32980,0.333988,0.368369,
101,60573,0.329,0.339,
102,48533,0.570736,0.565891,
103,2625,0.491246,0.472709,
104,38483,0.424975,0.414904,
105,78343,0.467583,0.472495,
106,50047,0.288732,0.279678,
107,73128,0.423611,0.450397,
108,22562,0.518664,0.507859,
109,66626,0.415893,0.345717,
110,82158,0.487427,0.489362,
111,65594,0.392644,0.364811,
112,16471,0.384538,0.380522,
113,85829,0.509375,0.505208,
114,1157,0.449848,0.477204,
115,24430,0.555218,0.571429,
116,4079,0.401777,0.379072,
117,28273,0.309353,0.320658,
118,7625,0.349899,0.370183,
119,68960,0.381062,0.39261,
120,27736,0.302789,0.312749,
121,70965,0.389706,0.431723,
122,35517,0.393269,0.377885,
123,44657,0.507042,0.525151,
124,52096,0.305359,0.32457,
125,17858,0.394094,0.417515,
126,13812,0.326193,0.319377,
127,42265,0.503469,0.514371,
128,9621,0.433852,0.435798,
